anno,IstatComune,Regione,Provincia,Comune,Popolazione,Dato riferito a,Frazione umida(1) (t),Verde (t),Carta e cartone (t),Vetro (t),Legno (t),Metallo (t),Plastica (t),RAEE (t),Tessili (t),Selettiva (t),Rifiuti da C e D (t),Pulizia stradale a recupero (t),Ingombranti misti a recupero (t),Altro (t),Totale RD (t),Ingombranti a smaltimento (t),Indifferenziato (t),Totale RU (t),Percentuale RD (%)
2010,060001,Lazio,Frosinone,ACQUAFONDATA,296,Comune,-,-,-,-,-,-,-,0.400,-,0.018,-,-,-,-,0.418,14.740,132.160,147.318,0.28
2010,060002,Lazio,Frosinone,ACUTO,1914,Comune,27.480,-,23.980,26.809,-,0.689,7.241,-,1.647,-,-,-,-,-,87.846,26.520,918.034,1032.399,8.51
2010,060003,Lazio,Frosinone,ALATRI,29496,Comune,-,-,229.920,21.250,-,2.560,37.940,23.410,-,1.520,-,-,-,2.510,319.110,58.220,13392.310,13769.640,2.32
2010,060004,Lazio,Frosinone,ALVITO,2885,Aggregazione: Unione Comuni 'Val Comino',-,-,47.220,53.124,-,3.193,13.802,93.438,-,0.648,-,-,18.340,9.240,239.005,6.240,4969.422,5214.666,4.58
2010,060005,Lazio,Frosinone,AMASENO,4415,Comune,-,-,8.260,-,-,-,-,-,-,0.107,-,-,-,0.550,8.917,37.240,1593.160,1639.317,0.54
2010,060006,Lazio,Frosinone,ANAGNI,21676,Comune,243.980,-,-,207.520,-,3.380,-,26.460,-,1.160,-,-,-,-,482.500,122.440,8622.120,9227.060,5.23
2010,060007,Lazio,Frosinone,AQUINO,5247,Comune,-,-,-,-,-,-,-,-,0.003,0.012,-,-,-,-,0.015,-,2073.960,2073.975,0.00
2010,060008,Lazio,Frosinone,ARCE,5925,Comune,45.920,1.660,60.820,79.444,-,2.890,3.947,5.960,-,0.060,-,-,11.120,0.300,212.121,-,2048.715,2260.836,9.38
2010,060009,Lazio,Frosinone,ARNARA,2395,Comune,-,-,-,2.880,-,-,3.120,7.300,-,-,-,-,-,-,13.300,-,790.060,803.360,1.66
2010,060010,Lazio,Frosinone,ARPINO,7552,Comune,-,-,49.360,15.860,-,-,13.360,11.768,-,-,-,-,-,-,90.348,2.220,2665.480,2758.048,3.28
2010,060011,Lazio,Frosinone,ATINA,4519,Vedi aggregazione: Unione Comuni 'Val Comino',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,060012,Lazio,Frosinone,AUSONIA,2636,Comune,-,-,4.600,22.741,-,2.813,3.842,-,-,0.034,-,-,4.380,-,38.409,-,873.565,911.974,4.21
2010,060013,Lazio,Frosinone,BELMONTE CASTELLO,777,Comune,-,-,6.840,3.035,-,0.030,0.222,-,-,-,-,-,-,-,10.126,-,217.830,227.956,4.44
2010,060014,Lazio,Frosinone,BOVILLE ERNICA,8898,Comune,-,-,52.430,54.760,-,-,-,5.100,-,-,-,-,-,0.440,112.730,9.900,2993.207,3115.837,3.62
2010,060015,Lazio,Frosinone,BROCCOSTELLA,2823,Comune,-,-,10.780,-,-,-,-,-,-,0.095,-,-,4.080,-,14.955,-,1103.990,1118.945,1.34
2010,060016,Lazio,Frosinone,CAMPOLI APPENNINO,1756,Comune,-,-,3.900,-,-,-,-,-,-,0.053,-,-,-,-,3.953,30.580,618.010,652.543,0.61
2010,060017,Lazio,Frosinone,CASALATTICO,656,Comune,-,-,6.239,3.035,-,0.030,0.222,-,-,-,-,-,1.789,-,11.313,-,154.530,165.843,6.82
2010,060018,Lazio,Frosinone,CASALVIERI,3098,Comune,-,-,-,-,-,-,-,-,-,-,-,-,-,0.520,0.520,-,1237.550,1238.070,0.04
2010,060019,Lazio,Frosinone,CASSINO,33153,Comune,-,-,837.520,178.840,-,18.310,92.280,19.190,31.290,7.450,-,-,-,-,1184.880,32.520,19197.260,20414.660,5.80
2010,060020,Lazio,Frosinone,CASTELLIRI,3539,Comune,-,-,5.390,13.697,-,0.361,6.843,0.007,-,0.039,-,-,-,-,26.337,2.420,1267.549,1296.306,2.03
2010,060021,Lazio,Frosinone,CASTELNUOVO PARANO,894,Comune,-,-,50.940,-,-,-,9.650,1.780,-,1.161,-,-,-,-,63.531,7.030,338.780,409.341,15.52
2010,060023,Lazio,Frosinone,CASTRO DEI VOLSCI,4977,Comune,-,-,42.820,25.419,-,3.144,4.294,9.090,2.420,0.121,-,-,1.760,0.280,89.348,-,1739.183,1828.531,4.89
2010,060022,Lazio,Frosinone,CASTROCIELO,4014,Comune,-,-,8.420,-,-,-,1.020,5.100,-,0.076,-,-,-,3.140,17.756,8.960,1742.440,1769.156,1.00
2010,060024,Lazio,Frosinone,CECCANO,23003,Comune,-,-,166.380,-,-,14.320,0.380,93.445,13.220,0.504,-,-,31.880,7.000,327.129,-,10149.600,10476.729,3.12
2010,060025,Lazio,Frosinone,CEPRANO,8610,Comune,-,-,22.780,13.771,-,1.703,2.326,62.850,10.854,0.230,-,-,6.460,20.620,141.594,-,3865.930,4007.524,3.53
2010,060026,Lazio,Frosinone,CERVARO,7209,Comune,-,-,94.640,23.540,1.980,0.900,4.600,11.920,-,0.012,-,-,-,1.800,139.392,53.600,3100.980,3293.972,4.23
2010,060027,Lazio,Frosinone,COLFELICE,1893,Comune,-,-,5.940,12.089,-,0.246,0.756,0.600,-,0.128,-,-,-,-,19.759,8.360,677.309,705.428,2.80
2010,060029,Lazio,Frosinone,COLLE SAN MAGNO,755,Comune,-,-,7.340,-,-,-,0.460,0.640,-,0.021,-,-,-,-,8.461,1.400,246.320,256.181,3.30
2010,060028,Lazio,Frosinone,COLLEPARDO,985,Comune,-,-,4.560,10.025,-,1.240,1.693,-,-,-,-,-,-,0.660,18.178,1.910,346.632,366.720,4.96
2010,060030,Lazio,Frosinone,CORENO AUSONIO,1691,Comune,-,-,7.570,-,-,-,-,4.520,-,0.079,-,-,3.740,-,15.909,-,421.920,437.829,3.63
2010,060031,Lazio,Frosinone,ESPERIA,3978,Comune,-,-,5.390,-,-,1.600,-,3.280,-,0.079,-,-,-,-,10.349,5.020,1208.960,1224.329,0.85
2010,060032,Lazio,Frosinone,FALVATERRA,594,Comune,-,-,-,-,1.000,-,-,4.400,2.400,-,-,-,-,-,7.800,-,267.813,275.613,2.83
2010,060033,Lazio,Frosinone,FERENTINO,21258,Comune,85.780,-,222.600,262.603,-,6.565,37.367,29.886,7.632,0.060,-,-,-,2.840,655.332,90.180,9084.345,9829.858,6.67
2010,060034,Lazio,Frosinone,FILETTINO,550,Comune,-,-,17.520,20.500,-,6.800,-,2.240,-,0.024,-,-,-,-,47.084,28.820,467.340,543.244,8.67
2010,060035,Lazio,Frosinone,FIUGGI,9755,Comune,-,-,67.950,85.095,-,1.459,14.323,-,7.098,0.190,-,-,-,0.860,176.974,99.860,6245.744,6522.578,2.71
2010,060036,Lazio,Frosinone,FONTANA LIRI,3063,Comune,-,-,7.080,3.940,-,-,3.650,1.550,-,-,-,-,-,-,16.220,7.660,1107.200,1131.080,1.43
2010,060037,Lazio,Frosinone,FONTECHIARI,1315,Comune,-,-,1.200,3.885,-,0.481,0.656,-,-,0.032,-,-,-,-,6.254,-,424.888,431.142,1.45
2010,060038,Lazio,Frosinone,FROSINONE,48122,Comune,-,400.440,1822.003,1012.230,-,44.033,94.733,96.410,-,1.630,-,-,-,-,3471.480,225.940,22588.510,26285.929,13.21
2010,060039,Lazio,Frosinone,FUMONE,2210,Comune,142.720,-,36.580,93.100,-,13.720,24.000,10.190,-,-,-,-,-,2.740,323.050,16.740,228.480,568.270,56.85
2010,060040,Lazio,Frosinone,GALLINARO,1279,Vedi aggregazione: Unione Comuni 'Val Comino',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,060041,Lazio,Frosinone,GIULIANO DI ROMA,2373,Comune,-,-,8.320,10.515,-,1.301,1.776,5.930,-,0.102,-,-,4.620,-,32.564,-,916.208,948.772,3.43
2010,060042,Lazio,Frosinone,GUARCINO,1700,Comune,-,-,11.600,15.419,-,1.820,2.486,-,-,-,-,-,0.150,-,31.475,-,716.155,747.630,4.21
2010,060043,Lazio,Frosinone,ISOLA DEL LIRI,11991,Comune,-,-,133.850,-,-,-,-,30.210,8.614,0.414,-,-,-,1.700,174.788,25.480,5091.640,5291.908,3.30
2010,060044,Lazio,Frosinone,MONTE SAN GIOVANNI CAMPANO,12796,Comune,62.160,-,146.428,199.749,-,5.176,16.629,-,11.344,-,-,-,-,3.660,445.146,20.160,4251.586,4716.892,9.44
2010,060045,Lazio,Frosinone,MOROLO,3299,Comune,93.900,-,95.800,76.839,-,5.986,8.176,15.690,1.823,-,-,-,-,-,298.214,14.480,1394.379,1707.073,17.47
2010,060046,Lazio,Frosinone,PALIANO,8330,Comune,37.760,-,58.760,89.840,-,-,19.720,-,-,80.240,-,-,-,0.780,287.100,40.560,3445.620,3773.280,7.61
2010,060047,Lazio,Frosinone,PASTENA,1534,Comune,-,-,2.560,51.201,-,1.907,4.605,-,-,-,-,-,-,-,60.274,-,361.706,421.980,14.28
2010,060048,Lazio,Frosinone,PATRICA,3147,Comune,32.560,3.400,42.370,40.906,-,5.940,13.517,6.750,-,0.310,-,-,13.990,2.120,161.862,-,1348.178,1510.040,10.72
2010,060049,Lazio,Frosinone,PESCOSOLIDO,1582,Comune,-,-,2.800,-,-,-,-,-,-,0.055,-,-,-,-,2.855,-,476.830,479.685,0.60
2010,060050,Lazio,Frosinone,PICINISCO,1256,Comune,-,-,5.060,12.360,1.500,1.500,5.300,-,-,-,-,-,-,2.060,27.780,-,384.080,411.860,6.75
2010,060051,Lazio,Frosinone,PICO,3065,Comune,-,-,1.700,5.529,-,0.684,0.934,-,-,0.030,-,-,-,-,8.877,-,971.573,980.450,0.91
