COD_RIP,COD_REG,COD_PROV,COD_CM,COD_UTS,PRO_COM,PRO_COM_T,COMUNE,COMUNE_A,CC_UTS,Shape_Leng,Shape_Area,temp_media_c,precip_media_mm,def_media_mm,vento_media_ms
3,12,58,258,258,58035,058035,Colonna,,0,9783.297359,3536476.69953,15.074561403508772,792.9730263157893,384.66710526315785,1.990652412280701
3,12,58,258,258,58036,058036,Fiano Romano,,0,29833.9797623,40888579.641,15.793832236842102,600.3769736842105,466.47499999999997,1.6341968201754373
3,12,58,258,258,58037,058037,Filacciano,,0,10900.285585,5852683.72577,15.406455592105267,525.8197368421053,496.34802631578947,1.6412006578947365
3,12,58,258,258,58038,058038,Formello,,0,31270.9770787,31120671.9172,15.351362781954888,377.10921052631574,666.2172932330828,2.174404761904762
3,12,58,258,258,58039,058039,Frascati,,0,32722.005947,22885631.2346,15.718763706140356,810.8407894736844,400.58486842105265,2.0174342105263157
3,12,58,258,258,58040,058040,Gallicano nel Lazio,,0,24577.5520068,25840623.4984,15.520650584795318,856.7861842105264,366.0059210526315,1.7488669590643269
3,12,58,258,258,58041,058041,Gavignano,,0,16280.6323787,15275366.9321,14.63215460526316,1021.5043859649126,298.6039473684211,1.7856542397660817
3,12,58,258,258,58042,058042,Genazzano,,0,26673.5648591,31708255.4734,14.543932748538007,948.3967105263158,307.5144736842105,1.743987573099415
3,12,58,258,258,58043,058043,Genzano di Roma,,0,30838.3737298,17237128.366,15.293338815789474,820.5629385964912,391.3714912280702,2.371966374269005
3,12,58,258,258,58044,058044,Gerano,,0,13123.628476,10395279.0308,13.155135233918111,826.271052631579,296.94122807017544,1.8610014619883026
3,12,58,258,258,58045,058045,Gorga,,0,23479.7433557,26439093.9285,12.248530701754385,868.6986842105264,273.83263157894737,2.5680263157894734
3,12,58,258,258,58046,058046,Grottaferrata,,0,29235.5506238,17776262.4355,14.621472953216383,720.1951754385967,406.15438596491225,2.31593567251462
3,12,58,258,258,58047,058047,Guidonia Montecelio,,0,49949.6327967,80160320.8064,15.936759868421053,788.0083646616542,391.4277255639098,1.6732847744360897
3,12,58,258,258,58048,058048,Jenne,,0,25058.9633411,31393364.6269,10.07081766917293,798.5479323308272,240.18458646616543,2.810385338345863
3,12,58,258,258,58049,058049,Labico,,0,15301.5693019,11944182.9402,14.418503289473682,833.0964912280702,344.56162280701756,1.9612024853801173
3,12,58,258,258,58050,058050,Lanuvio,,0,34858.5715697,44472461.1476,15.781359649122809,866.6472222222224,393.98304093567253,2.36240253411306
3,12,58,258,258,58051,058051,Licenza,,0,19186.1714914,18196133.6999,11.799539473684204,698.3873684210527,300.6728947368422,2.281162280701753
3,12,58,258,258,58052,058052,Magliano Romano,,0,18169.1895857,20336427.194,14.884685672514616,323.4287280701754,696.2765350877193,2.0614583333333325
3,12,58,258,258,58053,058053,Mandela,,0,15526.6630476,13909437.7533,13.21069078947368,754.9105263157895,315.6743421052632,1.8604440789473684
3,12,58,258,258,58054,058054,Manziana,,0,25202.9260604,24307789.8782,14.681015037593982,189.93101503759402,841.2736842105262,3.0257205513784475
3,12,58,258,258,58055,058055,Marano Equo,,0,12810.1759416,7580026.41449,12.687481725146199,802.7333333333335,298.344298245614,1.9555555555555557
3,12,58,258,258,58056,058056,Marcellina,,0,18620.9054412,15473223.677,15.122944078947368,772.1759868421052,373.15855263157897,1.7243969298245596
3,12,58,258,258,58057,058057,Marino,,0,26016.6845045,24582835.2052,15.21746710526316,761.9600000000002,411.98473684210524,2.367017543859648
3,12,58,258,258,58058,058058,Mazzano Romano,,0,32792.7961391,29143705.4777,14.95697490253411,304.22207602339176,715.7194444444445,2.055384990253411
3,12,58,258,258,58059,058059,Mentana,,0,28805.562316,24866475.945,15.808670112781952,695.8319548872181,417.11503759398494,1.6847431077694242
3,12,58,258,258,58060,058060,Monte Compatri,,0,37796.9265538,24272801.7949,15.184053884711776,791.909022556391,388.5531954887218,2.016541353383458
3,12,58,258,258,58061,058061,Monteflavio,,0,20371.9076389,16608834.2456,12.93100877192983,659.7855263157895,354.2736842105263,2.0683771929824566
3,12,58,258,258,58062,058062,Montelanico,,0,31009.5931875,35277730.1992,13.100098684210526,887.9521052631578,286.9273684210526,2.412214912280702
3,12,58,258,258,58063,058063,Montelibretti,,0,40814.8202524,45574171.28,15.679788011695905,669.4308479532164,419.4026315789473,1.5894249512670549
3,12,58,258,258,58064,058064,Monte Porzio Catone,,0,13815.7940632,9313622.82244,15.330907346491237,788.582894736842,397.2746710526316,2.028179824561403
3,12,58,258,258,58065,058065,Monterotondo,,0,31651.4896184,40981197.2427,15.931915726817039,667.4152255639099,429.34379699248115,1.6647243107769427
3,12,58,258,258,58066,058066,Montorio Romano,,0,21699.977529,23635203.3028,13.988907163742695,661.3614035087719,380.223245614035,1.8272478070175442
3,12,58,258,258,58067,058067,Moricone,,0,32855.0903797,19425143.4257,14.981766917293239,675.921052631579,399.6624060150376,1.6822055137844607
3,12,58,258,258,58068,058068,Morlupo,,0,25058.0238418,23989434.5342,15.246838450292396,440.5960526315789,589.6820175438596,1.9001461988304087
3,12,58,258,258,58069,058069,Nazzano,,0,19436.3470578,12289075.1653,15.435946637426902,530.6320175438597,499.0280701754385,1.6679459064327482
3,12,58,258,258,58070,058070,Nemi,,0,11382.6016903,7293125.3954,14.355509868421061,738.6746710526317,389.6680921052632,2.5106907894736827
3,12,56,0,56,56001,056001,Acquapendente,,0,55207.8928328,131323015.336,13.141242497691598,497.2308171745153,466.7535318559557,2.2228070175438597
3,12,56,0,56,56002,056002,Arlena di Castro,,0,22829.9204336,21816599.9258,14.661107456140343,406.2428947368422,630.0107894736844,2.6041447368421062
3,12,56,0,56,56003,056003,Bagnoregio,,0,43610.8124284,72579010.9535,13.70782726045884,406.2129554655871,576.8648785425102,2.161816801619433
3,12,56,0,56,56004,056004,Barbarano Romano,,0,26375.9623153,37471791.8272,14.27302631578947,233.92499999999998,784.601096491228,2.720522660818711
3,12,56,0,56,56005,056005,Bassano Romano,,0,25923.5885999,37506053.1298,14.088274396929819,187.7177631578947,821.0911184210527,2.7052220394736857
3,12,56,0,56,56006,056006,Bassano in Teverina,,0,14403.2413077,12376194.9719,14.58754385964914,360.0878947368422,638.841052631579,1.9224561403508773
3,12,56,0,56,56007,056007,Blera,,0,58393.9307049,92826928.0518,14.745961257309936,281.3897368421052,751.7252631578946,2.719546783625731
3,12,56,0,56,56008,056008,Bolsena,,0,32963.5353401,63170875.3362,13.49094709429825,418.46101973684205,551.5279605263158,2.2722450657894737
3,12,56,0,56,56009,056009,Bomarzo,,0,35008.8549885,39603102.1853,14.744962993421055,378.27006578947373,624.5495065789476,1.911143092105264
3,12,56,0,56,56010,056010,Calcata,,0,17116.3465831,7644332.29437,15.002832602339176,328.1907894736842,690.1736842105262,1.9965643274853788
3,12,56,0,56,56011,056011,Canepina,,0,18971.3681103,21098257.4777,12.7921052631579,326.6863157894737,632.7378947368421,2.5662719298245618
3,12,56,0,56,56012,056012,Canino,,0,57014.3412538,123801140.842,15.12405701754386,467.2005263157895,591.905701754386,2.801052631578946
3,12,56,0,56,56013,056013,Capodimonte,,0,42617.6145452,61277577.3172,14.124901315789476,390.8126315789474,607.8447368421055,2.4182894736842107
3,12,56,0,56,56014,056014,Capranica,,0,26984.8011658,40621274.1389,13.72317023026316,224.35493421052632,772.4041118421052,2.6966145833333317
3,12,56,0,56,56015,056015,Caprarola,,0,38595.0253666,57656516.6715,13.446314571150097,277.3827485380117,700.9969298245614,2.516045321637427
3,12,56,0,56,56016,056016,Carbognano,,0,24412.2630035,17481140.4416,13.802543859649123,268.23289473684207,718.0463157894736,2.3476315789473685
3,12,56,0,56,56017,056017,Castel Sant'Elia,,0,31102.6354826,24512165.6068,15.007250548245615,302.21019736842106,717.1210526315791,2.01186951754386
3,12,56,0,56,56018,056018,Castiglione in Teverina,,0,26496.7475988,20184628.3732,14.378706140350882,447.19631578947366,542.8360526315789,1.915350877192982
3,12,56,0,56,56019,056019,Celleno,,0,19411.4166144,24425261.6603,14.124575109649125,360.1486842105264,643.5595394736843,2.149588815789474
3,12,56,0,56,56020,056020,Cellere,,0,36520.1051592,37122739.6985,14.162694931773881,415.06666666666655,605.3404970760233,2.7118908382066267
3,12,56,0,56,56021,056021,Civita Castellana,,0,47811.7870761,83917444.1763,15.204358552631575,392.4838345864661,623.4030075187972,1.8173793859649123
3,12,56,0,56,56022,056022,Civitella d'Agliano,,0,32964.7913953,32779661.393,14.640656328320805,426.03477443609023,570.2221804511279,1.8802161654135332
3,12,56,0,56,56023,056023,Corchiano,,0,31234.6257657,33230068.1586,14.809032346491229,336.57598684210524,671.482072368421,1.9334292763157899
