id_istat,comune,provincia,sigla_prov,temp_media_c,precip_media_mm,deficit_media_mm,vento_media_ms,temp_trend_c_decade,precip_trend_mm_decade,temp_trend_pvalue,precip_trend_pvalue,temp_trend_sig,precip_trend_sig,deficit_trend_mm_decade,deficit_trend_pvalue,deficit_trend_sig,anomalia_estate_trend_c_decade,anomalia_estate_trend_pvalue,anomalia_estate_trend_sig
056001,Acquapendente,Viterbo,VT,13.141242497691598,497.2308171745153,466.7535318559557,2.2228070175438597,0.23,-2.9,0.0,0.5305,True,False,12.5,0.0168,True,0.294,0.0,True
056002,Arlena di Castro,Viterbo,VT,14.661107456140343,406.2428947368422,630.0107894736844,2.6041447368421062,0.235,-4.2,0.0,0.2874,True,False,16.3,0.002,True,0.302,0.0,True
056003,Bagnoregio,Viterbo,VT,13.70782726045884,406.2129554655871,576.8648785425102,2.161816801619433,0.234,-2.3,0.0,0.5376,True,False,14.6,0.0048,True,0.31,0.0,True
056004,Barbarano Romano,Viterbo,VT,14.27302631578947,233.92499999999998,784.601096491228,2.720522660818711,0.24,-2.5,0.0,0.2649,True,False,15.9,0.0001,True,0.322,0.0,True
056005,Bassano Romano,Viterbo,VT,14.088274396929819,187.7177631578947,821.0911184210527,2.7052220394736857,0.245,-1.8,0.0,0.3113,True,False,15.7,0.0,True,0.331,0.0,True
056006,Bassano in Teverina,Viterbo,VT,14.58754385964914,360.0878947368422,638.841052631579,1.9224561403508773,0.242,-2.1,0.0,0.5231,True,False,15.0,0.0021,True,0.336,0.0,True
056007,Blera,Viterbo,VT,14.745961257309936,281.3897368421052,751.7252631578946,2.719546783625731,0.236,-3.7,0.0,0.1894,True,False,16.2,0.0002,True,0.314,0.0,True
056008,Bolsena,Viterbo,VT,13.49094709429825,418.46101973684205,551.5279605263158,2.2722450657894737,0.232,-2.7,0.0,0.4788,True,False,14.5,0.0051,True,0.301,0.0,True
056009,Bomarzo,Viterbo,VT,14.744962993421055,378.27006578947373,624.5495065789476,1.911143092105264,0.24,-2.1,0.0,0.5505,True,False,14.7,0.0034,True,0.327,0.0,True
056010,Calcata,Viterbo,VT,15.002832602339176,328.1907894736842,690.1736842105262,1.9965643274853788,0.254,-2.7,0.0,0.3699,True,False,16.5,0.0004,True,0.362,0.0,True
056011,Canepina,Viterbo,VT,12.7921052631579,326.6863157894737,632.7378947368421,2.5662719298245618,0.244,-1.7,0.0,0.565,True,False,15.4,0.0014,True,0.332,0.0,True
056012,Canino,Viterbo,VT,15.12405701754386,467.2005263157895,591.905701754386,2.801052631578946,0.228,-6.0,0.0,0.2015,True,False,16.4,0.0039,True,0.293,0.0,True
056013,Capodimonte,Viterbo,VT,14.124901315789476,390.8126315789474,607.8447368421055,2.4182894736842107,0.235,-3.2,0.0,0.3872,True,False,15.2,0.0027,True,0.303,0.0,True
056014,Capranica,Viterbo,VT,13.72317023026316,224.35493421052632,772.4041118421052,2.6966145833333317,0.244,-1.9,0.0,0.3747,True,False,15.7,0.0001,True,0.329,0.0,True
056015,Caprarola,Viterbo,VT,13.446314571150097,277.3827485380117,700.9969298245614,2.516045321637427,0.246,-1.8,0.0,0.4962,True,False,15.6,0.0004,True,0.335,0.0,True
056016,Carbognano,Viterbo,VT,13.802543859649123,268.23289473684207,718.0463157894736,2.3476315789473685,0.246,-1.6,0.0,0.5164,True,False,15.4,0.0004,True,0.339,0.0,True
056017,Castel Sant'Elia,Viterbo,VT,15.007250548245615,302.21019736842106,717.1210526315791,2.01186951754386,0.251,-2.3,0.0,0.4087,True,False,16.0,0.0003,True,0.355,0.0,True
056018,Castiglione in Teverina,Viterbo,VT,14.378706140350882,447.19631578947366,542.8360526315789,1.915350877192982,0.233,-2.4,0.0,0.5564,True,False,14.0,0.0091,True,0.312,0.0,True
056019,Celleno,Viterbo,VT,14.124575109649125,360.1486842105264,643.5595394736843,2.149588815789474,0.238,-2.1,0.0,0.5261,True,False,14.7,0.0027,True,0.316,0.0,True
056020,Cellere,Viterbo,VT,14.162694931773881,415.06666666666655,605.3404970760233,2.7118908382066267,0.233,-4.1,0.0,0.3084,True,False,16.0,0.0027,True,0.298,0.0,True
056021,Civita Castellana,Viterbo,VT,15.204358552631575,392.4838345864661,623.4030075187972,1.8173793859649123,0.25,-3.0,0.0,0.4122,True,False,15.9,0.0016,True,0.358,0.0,True
056022,Civitella d'Agliano,Viterbo,VT,14.640656328320805,426.03477443609023,570.2221804511279,1.8802161654135332,0.235,-2.3,0.0,0.5526,True,False,14.3,0.0067,True,0.317,0.0,True
056023,Corchiano,Viterbo,VT,14.809032346491229,336.57598684210524,671.482072368421,1.9334292763157899,0.247,-2.3,0.0,0.4538,True,False,15.5,0.001,True,0.347,0.0,True
056024,Fabrica di Roma,Viterbo,VT,14.597299890350879,290.36315789473684,716.1911184210527,2.071477521929825,0.247,-2.0,0.0,0.4614,True,False,15.5,0.0004,True,0.346,0.0,True
056025,Faleria,Viterbo,VT,15.045620888157886,358.3414473684211,658.5353618421053,1.9186403508771919,0.253,-2.8,0.0,0.3919,True,False,16.4,0.0007,True,0.363,0.0,True
056026,Farnese,Viterbo,VT,13.975798001949322,439.2153508771929,565.2343567251462,2.6165935672514617,0.232,-4.1,0.0,0.3337,True,False,15.5,0.0044,True,0.297,0.0,True
056027,Gallese,Viterbo,VT,14.933497807017549,376.1095394736842,629.916447368421,1.8446134868421056,0.246,-2.6,0.0,0.4428,True,False,15.6,0.0016,True,0.348,0.0,True
056028,Gradoli,Viterbo,VT,13.720550073099412,422.6326754385964,552.5339912280702,2.3575475146198825,0.233,-3.1,0.0,0.4364,True,False,14.7,0.0049,True,0.3,0.0,True
056029,Graffignano,Viterbo,VT,14.866596177944858,419.34924812030073,581.1733082706767,1.8346804511278183,0.237,-2.3,0.0,0.554,True,False,14.3,0.0061,True,0.322,0.0,True
056030,Grotte di Castro,Viterbo,VT,13.57560307017544,434.97412280701747,536.5641812865496,2.3267543859649122,0.233,-3.0,0.0,0.4549,True,False,14.4,0.0062,True,0.299,0.0,True
056031,Ischia di Castro,Viterbo,VT,14.272636093911249,447.3016253869969,570.4360681114551,2.7087654798761593,0.229,-4.8,0.0,0.2761,True,False,15.7,0.0044,True,0.293,0.0,True
056032,Latera,Viterbo,VT,13.291072733918126,432.62434210526317,538.8896929824562,2.518421052631579,0.234,-3.2,0.0,0.4308,True,False,14.8,0.0053,True,0.298,0.0,True
056033,Lubriano,Viterbo,VT,13.688185307017552,427.5098684210526,552.2750000000001,2.121491228070175,0.233,-2.3,0.0,0.5536,True,False,14.4,0.0065,True,0.309,0.0,True
056034,Marta,Viterbo,VT,14.277130325814541,375.3874060150375,629.9428571428571,2.3711309523809527,0.236,-3.1,0.0,0.3869,True,False,15.3,0.0022,True,0.306,0.0,True
056035,Montalto di Castro,Viterbo,VT,15.64011591478696,518.2224937343358,566.8652882205513,3.145765455304929,0.215,-8.7,0.0,0.1087,True,False,15.5,0.0073,True,0.28,0.0,True
056036,Montefiascone,Viterbo,VT,13.891231295149641,366.2943498452012,628.3532507739938,2.312667698658411,0.236,-2.5,0.0,0.4601,True,False,15.0,0.0024,True,0.309,0.0,True
056037,Monte Romano,Viterbo,VT,15.158658854166667,386.7307565789474,663.4504111842107,2.5655084978070173,0.235,-4.9,0.0,0.2053,True,False,16.8,0.001,True,0.308,0.0,True
056038,Monterosi,Viterbo,VT,14.80402960526316,201.99276315789476,821.3990131578946,2.330921052631579,0.251,-1.7,0.0,0.3642,True,False,16.0,0.0,True,0.347,0.0,True
056039,Nepi,Viterbo,VT,14.805979303728071,247.12549342105262,772.1083881578948,2.1848684210526317,0.251,-1.9,0.0,0.4001,True,False,15.9,0.0001,True,0.349,0.0,True
056040,Onano,Viterbo,VT,13.082269736842099,462.9886842105263,497.2413157894736,2.4030921052631578,0.233,-3.1,0.0,0.4761,True,False,13.8,0.0102,True,0.297,0.0,True
056041,Oriolo Romano,Viterbo,VT,14.109484649122802,182.24815789473683,830.4618421052631,2.88353070175439,0.242,-2.0,0.0,0.2452,True,False,15.7,0.0,True,0.324,0.0,True
056042,Orte,Viterbo,VT,14.936398940058481,408.8601973684211,592.4172149122807,1.7849506578947365,0.244,-2.7,0.0,0.4634,True,False,15.4,0.0029,True,0.344,0.0,True
056043,Piansano,Viterbo,VT,14.076388888888891,386.1949561403508,629.7960526315791,2.5884502923976616,0.236,-3.4,0.0,0.3529,True,False,15.7,0.002,True,0.303,0.0,True
056044,Proceno,Viterbo,VT,13.452497563352823,509.66213450292406,459.14444444444456,2.149305555555556,0.231,-3.0,0.0,0.5258,True,False,12.1,0.0201,True,0.295,0.0,True
056045,Ronciglione,Viterbo,VT,14.011494883040932,238.0608552631579,760.9662280701755,2.4538925438596486,0.247,-1.7,0.0,0.4438,True,False,15.6,0.0002,True,0.337,0.0,True
056046,Villa San Giovanni in Tuscia,Viterbo,VT,14.523629385964904,257.1167763157895,769.324342105263,2.5794407894736833,0.24,-2.7,0.0,0.2779,True,False,15.8,0.0002,True,0.32,0.0,True
056047,San Lorenzo Nuovo,Viterbo,VT,13.727850877192983,430.8621052631579,544.7963157894739,2.249517543859649,0.232,-2.9,0.0,0.4633,True,False,14.3,0.006,True,0.298,0.0,True
056048,Soriano nel Cimino,Viterbo,VT,13.968055555555566,331.9700657894737,658.6822368421052,2.169389619883042,0.242,-1.8,0.0,0.5561,True,False,15.0,0.0016,True,0.331,0.0,True
056049,Sutri,Viterbo,VT,14.386677631578948,200.1605263157895,811.0869883040937,2.427765594541911,0.248,-1.6,0.0,0.4038,True,False,15.7,0.0,True,0.34,0.0,True
056050,Tarquinia,Viterbo,VT,15.635964912280699,491.068557168784,587.5941923774955,3.054881276467029,0.224,-8.3,0.0,0.1094,True,False,16.9,0.0029,True,0.294,0.0,True
056051,Tessennano,Viterbo,VT,14.655482456140339,416.3171052631579,620.2934210526316,2.652220394736842,0.234,-4.4,0.0,0.2827,True,False,16.4,0.0023,True,0.301,0.0,True
