data,comune,provincia,rischio
2026-08-07,Acquapendente,VT,Alto
2026-08-07,Arlena di Castro,VT,Alto
2026-08-07,Bagnoregio,VT,Alto
2026-08-07,Barbarano Romano,VT,Alto
2026-08-07,Bassano Romano,VT,Alto
2026-08-07,Bassano in Teverina,VT,Alto
2026-08-07,Blera,VT,Alto
2026-08-07,Bolsena,VT,Moderato
2026-08-07,Bomarzo,VT,Alto
2026-08-07,Calcata,VT,Alto
2026-08-07,Canepina,VT,Moderato
2026-08-07,Canino,VT,Alto
2026-08-07,Capodimonte,VT,Alto
2026-08-07,Capranica,VT,Alto
2026-08-07,Caprarola,VT,Alto
2026-08-07,Carbognano,VT,Alto
2026-08-07,Castel Sant'Elia,VT,Alto
2026-08-07,Castiglione in Teverina,VT,Alto
2026-08-07,Celleno,VT,Alto
2026-08-07,Cellere,VT,Alto
2026-08-07,Civita Castellana,VT,Alto
2026-08-07,Civitella d'Agliano,VT,Alto
2026-08-07,Corchiano,VT,Alto
2026-08-07,Fabrica di Roma,VT,Alto
2026-08-07,Faleria,VT,Alto
2026-08-07,Farnese,VT,Alto
2026-08-07,Gallese,VT,Alto
2026-08-07,Gradoli,VT,Alto
2026-08-07,Graffignano,VT,Alto
2026-08-07,Grotte di Castro,VT,Alto
2026-08-07,Ischia di Castro,VT,Alto
2026-08-07,Latera,VT,Alto
2026-08-07,Lubriano,VT,Alto
2026-08-07,Marta,VT,Alto
2026-08-07,Montalto di Castro,VT,Alto
2026-08-07,Montefiascone,VT,Moderato
2026-08-07,Monte Romano,VT,Alto
2026-08-07,Monterosi,VT,Alto
2026-08-07,Nepi,VT,Alto
2026-08-07,Onano,VT,Alto
2026-08-07,Oriolo Romano,VT,Alto
2026-08-07,Orte,VT,Alto
2026-08-07,Piansano,VT,Alto
2026-08-07,Proceno,VT,Alto
2026-08-07,Ronciglione,VT,Alto
2026-08-07,Villa San Giovanni in Tuscia,VT,Alto
2026-08-07,San Lorenzo Nuovo,VT,Alto
2026-08-07,Soriano nel Cimino,VT,Alto
2026-08-07,Sutri,VT,Alto
2026-08-07,Tarquinia,VT,Alto
2026-08-07,Tessennano,VT,Alto
2026-08-07,Tuscania,VT,Alto
2026-08-07,Valentano,VT,Alto
2026-08-07,Vallerano,VT,Alto
2026-08-07,Vasanello,VT,Alto
2026-08-07,Vejano,VT,Alto
2026-08-07,Vetralla,VT,Alto
2026-08-07,Vignanello,VT,Alto
2026-08-07,Viterbo,VT,Alto
2026-08-07,Vitorchiano,VT,Alto
2026-08-07,Accumoli,RI,Moderato
2026-08-07,Amatrice,RI,Basso
2026-08-07,Antrodoco,RI,Moderato
2026-08-07,Ascrea,RI,Moderato
2026-08-07,Belmonte in Sabina,RI,Alto
2026-08-07,Borbona,RI,Moderato
2026-08-07,Borgorose,RI,Moderato
2026-08-07,Borgo Velino,RI,Moderato
2026-08-07,Cantalice,RI,Moderato
2026-08-07,Cantalupo in Sabina,RI,Alto
2026-08-07,Casaprota,RI,Alto
2026-08-07,Casperia,RI,Moderato
2026-08-07,Castel di Tora,RI,Moderato
2026-08-07,Castelnuovo di Farfa,RI,Alto
2026-08-07,Castel Sant'Angelo,RI,Moderato
2026-08-07,Cittaducale,RI,Moderato
2026-08-07,Cittareale,RI,Moderato
2026-08-07,Collalto Sabino,RI,Alto
2026-08-07,Colle di Tora,RI,Moderato
2026-08-07,Collegiove,RI,Moderato
2026-08-07,Collevecchio,RI,Alto
2026-08-07,Colli sul Velino,RI,Alto
2026-08-07,Concerviano,RI,Alto
2026-08-07,Configni,RI,Alto
2026-08-07,Contigliano,RI,Moderato
2026-08-07,Cottanello,RI,Alto
2026-08-07,Fara in Sabina,RI,Alto
2026-08-07,Fiamignano,RI,Moderato
2026-08-07,Forano,RI,Alto
2026-08-07,Frasso Sabino,RI,Alto
2026-08-07,Greccio,RI,Alto
2026-08-07,Labro,RI,Alto
2026-08-07,Leonessa,RI,Moderato
2026-08-07,Longone Sabino,RI,Alto
2026-08-07,Magliano Sabina,RI,Alto
2026-08-07,Marcetelli,RI,Moderato
2026-08-07,Micigliano,RI,Moderato
2026-08-07,Mompeo,RI,Alto
2026-08-07,Montasola,RI,Moderato
2026-08-07,Montebuono,RI,Alto
2026-08-07,Monteleone Sabino,RI,Alto
2026-08-07,Montenero Sabino,RI,Moderato
